Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Joachims, T.","6602804136;","Optimizing search engines using clickthrough data",2002,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",,,,"133","142",,2248,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242456822&partnerID=40&md5=641d7d9bb853d2748f41a1b3bcc17019",Conference Paper,"Final",,Scopus,2-s2.0-0242456822
"Elith, J., Leathwick, J.R.","8046847200;6701736764;","Species distribution models: Ecological explanation and prediction across space and time",2009,"Annual Review of Ecology, Evolution, and Systematics","40",,,"677","697",,2210,"10.1146/annurev.ecolsys.110308.120159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73949141293&doi=10.1146%2fannurev.ecolsys.110308.120159&partnerID=40&md5=925e76954bcb7cf47f8e0ea0faf122b3",Article,"Final",,Scopus,2-s2.0-73949141293
"Goodfellow, I.J., Pouget-Abadie, J., Mirza, M., Xu, B., Warde-Farley, D., Ozair, S., Courville, A., Bengio, Y.","35956088800;56736268100;55431127900;56734924900;24472176000;56354673800;6507291186;7003958245;","Generative adversarial nets",2014,"Advances in Neural Information Processing Systems","3","January",,"2672","2680",,2199,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937849144&partnerID=40&md5=6441b2a288c5fdded2adbcc8b21e092c",Conference Paper,"Final",,Scopus,2-s2.0-84937849144
"Murphy, K.P.","",[No title available],2012,"Machine Learning: A Probabilistic Perspective",,,,"","",,2192,,,Article,"Final",,Scopus,2-s2.0-84857466151
"Ioffe, S., Szegedy, C.","7005880161;56122593000;","Batch normalization: Accelerating deep network training by reducing internal covariate shift",2015,"32nd International Conference on Machine Learning, ICML 2015","1",,,"448","456",,2186,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969584486&partnerID=40&md5=bf7e146fe4da2c48a38050108068d697",Conference Paper,"Final",,Scopus,2-s2.0-84969584486
"Mao, X.","","Stochastic Differential Equations and Applications",1997,"Stochastic Differential Equations and Applications",,,,"","",,2139,,,Article,"Final",,Scopus,2-s2.0-0003561266
"Arnold, L.","",[No title available],1974,"Stochastic Differential Equations: Theory and Applications",,,,"","",,2128,,,Article,"Final",,Scopus,2-s2.0-0003976305
"Lewis, A.","7403488218;","Cosmological parameters from CMB and other data: A Monte Carlo approach",2002,"Physical Review D - Particles, Fields, Gravitation and Cosmology","66","10",,"","",5,2106,"10.1103/PhysRevD.66.103511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037113847&doi=10.1103%2fPhysRevD.66.103511&partnerID=40&md5=3b99ad55cd4fd0f5898bfa35f6462971",Article,"Final",,Scopus,2-s2.0-0037113847
"Bruner, J.S.","",[No title available],1966,"Toward a Theory of Instruction",,,,"","",,2079,,,Article,"Final",,Scopus,2-s2.0-0003809019
"Abadi, M., Agarwal, A., Barham, P., Brevdo, E., Chen, Z., Citro, C., Corrado, G.S., Davis, A., Dean, J., Devin, M., Ghemawat, S., Goodfellow, I., Harp, A., Irving, G., Isard, M., Jia, Y., Jozefowicz, R., Kaiser, L., Kudlur, M., Levenberg, J., Mané, D., Monga, R., Moore, S., Murray, D., Olah, C., Schuster, M., Shlens, J., Steiner, B., Sutskever, I., Talwar, K., Tucker, P., Vanhoucke, V., Vasudevan, V., Viégas, F., Vinyals, O., Warden, P., Wattenberg, M., Wicke, M., Yu, Y., Zheng, X.","",[No title available],2015,"TensorFlow: Large-scale Machine Learning on Heterogeneous Systems",,,,"","",,2051,,,Article,"Final",,Scopus,2-s2.0-84958264664
"FLETCHER R","7409586043;","New approach to variable metric algorithms",1970,"Computer Journal","13","3",,"317","322",,2047,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014825610&partnerID=40&md5=ef1ddb2331838f63c9e6dd8e2703588b",Article,"Final",,Scopus,2-s2.0-0014825610
"Resnick, P., Varian, H.R.","7003643279;6603546331;","Recommender Systems",1997,"Communications of the ACM","40","3",,"56","58",,2044,"10.1145/245108.245121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031104254&doi=10.1145%2f245108.245121&partnerID=40&md5=04cb3cb58129b84dfe61e8c7184807d0",Article,"Final",,Scopus,2-s2.0-0031104254
"Lattner, C., Adve, V.","7801365279;6701828487;","LLVM: A compilation framework for lifelong program analysis &amp; transformation",2004,"International Symposium on Code Generation and Optimization, CGO",,,,"75","86",,1999,"10.1109/CGO.2004.1281665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042658703&doi=10.1109%2fCGO.2004.1281665&partnerID=40&md5=3fe1ad39127f0591fd5d62b2ae3fc8a4",Conference Paper,"Final",,Scopus,2-s2.0-3042658703
"Järvelin, K., Kekäläinen, J.","7003932928;6508128789;","Cumulated gain-based evaluation of IR techniques",2002,"ACM Transactions on Information Systems","20","4",,"422","446",,1941,"10.1145/582415.582418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842637192&doi=10.1145%2f582415.582418&partnerID=40&md5=2476472ef70fc99e78e543e83e6173f7",Article,"Final",,Scopus,2-s2.0-1842637192
"Jia, Y., Shelhamer, E., Donahue, J., Karayev, S., Long, J., Girshick, R., Guadarrama, S., Darrell, T.","",[No title available],2014,"Caffe: Convolutional Architecture for Fast Feature Embedding",,,,"","",,1933,,,Article,"Final",,Scopus,2-s2.0-84913555165
"Hubel, D.H., Wiesel, T.N.","7005243556;7004630141;","Receptive fields of single neurones in the cat's striate cortex",1959,"The Journal of Physiology","148","3",,"574","591",,1921,"10.1113/jphysiol.1959.sp006308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449311374&doi=10.1113%2fjphysiol.1959.sp006308&partnerID=40&md5=c16a92084673c33d25d37c80f6a19277",Article,"Final",Open Access,Scopus,2-s2.0-70449311374
"Balch, T., Arkin, R.C.","7003813842;35571740900;","Behavior-based formation control for multirobot teams",1998,"IEEE Transactions on Robotics and Automation","14","6",,"926","939",,1891,"10.1109/70.736776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032308533&doi=10.1109%2f70.736776&partnerID=40&md5=391f18a500d30c1c7be7a7be7ad0f20d",Article,"Final",,Scopus,2-s2.0-0032308533
"Krizhevsky, A.","","Learning multiple layers of features from tiny images",2009,"Learning Multiple Layers of Features from Tiny Images",,,,"","",,1870,,,Article,"Final",,Scopus,2-s2.0-77956002520
"Kirk, D.E.","",[No title available],1970,"Optimal Control Theory: An Introduction",,,,"","",,1862,,,Article,"Final",,Scopus,2-s2.0-0003448648
"Bell, D.E., LaPadula, L.J.","","Secure computer systems: Unified exposition and multics interpretation",1976,"Secure Computer System: Unified Exposition and Multics Interpretation",,,,"","",,1857,,,Article,"Final",,Scopus,2-s2.0-0003400251
"Bengio, Y., Ducharme, R., Vincent, P., Jauvin, C.","7003958245;7004197900;7201678633;6503995197;","A Neural Probabilistic Language Model",2003,"Journal of Machine Learning Research","3","6",,"1137","1155",,1856,"10.1162/153244303322533223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142166851&doi=10.1162%2f153244303322533223&partnerID=40&md5=786ebeb149454f1f9d72c189103f8cb8",Conference Paper,"Final",,Scopus,2-s2.0-0142166851
"Witmer, B.G., Singer, M.J.","6602988544;7401654678;","Measuring presence in virtual environments: A presence questionnaire",1998,"Presence: Teleoperators and Virtual Environments","7","3",,"225","240",,1838,"10.1162/105474698565686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000564575&doi=10.1162%2f105474698565686&partnerID=40&md5=2ac9a76849f33fa0abd3e7246eec605b",Article,"Final",,Scopus,2-s2.0-0000564575
"Cramer, C.J., Truhlar, D.G.","7202488076;35419333100;","Implicit Solvation Models: Equilibria, Structure, Spectra, and Dynamics",1999,"Chemical Reviews","99","8",,"2161","2200",,1834,"10.1021/cr960149m","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961981091&doi=10.1021%2fcr960149m&partnerID=40&md5=55c2d38d2c77061ddd0b0d5d02b6397d",Article,"Final",,Scopus,2-s2.0-84961981091
"Gelfand, I.M., Fomin, S.V.","",[No title available],1963,"Calculus of Variations",,,,"","",,1815,,,Article,"Final",,Scopus,2-s2.0-0003814292
"Shannon, C.E.","","The mathematical theory of communication",1949,"The Mathematical Theory of Communication",,"1",,"3","91",,1815,,,Article,"Final",,Scopus,2-s2.0-0002947255
"Auer, P., Cesa-Bianchi, N., Fischer, P.","7007056747;7003771641;56970397500;","Finite-time analysis of the multiarmed bandit problem",2002,"Machine Learning","47","2-3",,"235","256",,1806,"10.1023/A:1013689704352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036568025&doi=10.1023%2fA%3a1013689704352&partnerID=40&md5=99380722d33c4c660909c418825db644",Article,"Final",Open Access,Scopus,2-s2.0-0036568025
"Davis, M., Logemann, G., Loveland, D.","23766153700;57199637671;7004207200;","A machine program for theorem-proving",1962,"Communications of the ACM","5","7",,"394","397",,1798,"10.1145/368273.368557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919401135&doi=10.1145%2f368273.368557&partnerID=40&md5=90bc6726cb462a413975da04ff5b0198",Article,"Final",,Scopus,2-s2.0-84919401135
"Bar-Shalom, Y., Li, X.R.","",[No title available],1993,"Estimation and Tracking: Principles, Techniques, and Software",,,,"","",,1765,,,Article,"Final",,Scopus,2-s2.0-0003834266
"Foreman-Mackey, D., Hogg, D.W., Lang, D., Goodman, J.","55537517900;35277937900;24759134300;7402288987;","Emcee: The MCMC hammer",2013,"Publications of the Astronomical Society of the Pacific","125","925",,"306","312",,1764,"10.1086/670067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875838326&doi=10.1086%2f670067&partnerID=40&md5=71392c1a23c01c0b19cc5ffa42c2c291",Article,"Final",Open Access,Scopus,2-s2.0-84875838326
"Hambleton, R.K., Swaminathan, H., Rogers, H.J.","",[No title available],1991,"Fundamentals of Item Response Theory",,,,"","",,1731,,,Article,"Final",,Scopus,2-s2.0-0003866628
"Dickinson, M.H., Lehmann, F.-O., Sane, S.P.","7102926772;13806040100;7006805753;","Wing rotation and the aerodynamic basis of insect right",1999,"Science","284","5422",,"1954","1960",,1710,"10.1126/science.284.5422.1954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033580976&doi=10.1126%2fscience.284.5422.1954&partnerID=40&md5=a26f25bc6b8a3e85d8e2fb4aab8f79b3",Article,"Final",,Scopus,2-s2.0-0033580976
"Izhikevich, E.M.","7003756338;","Simple model of spiking neurons",2003,"IEEE Transactions on Neural Networks","14","6",,"1569","1572",,1706,"10.1109/TNN.2003.820440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0742268989&doi=10.1109%2fTNN.2003.820440&partnerID=40&md5=a352b92a2333bf5af05013d6398181a9",Letter,"Final",,Scopus,2-s2.0-0742268989
"Tannehill, J.C., Anderson, D.A., Pletcher, R.H.","",[No title available],1997,"Computational Fluid Mechanics and Heat Transfer",,,,"","",,1698,,,Article,"Final",,Scopus,2-s2.0-0003922125
"Goemans, M.X., Williamson, D.P.","7003828844;7402435757;","Improved Approximation Algorithms for Maximum Cut and Satisflability Problems Using Semidefinite Programming",1995,"Journal of the ACM (JACM)","42","6",,"1115","1145",,1669,"10.1145/227683.227684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893574327&doi=10.1145%2f227683.227684&partnerID=40&md5=3b26830e493b80f858842fe2e6a22473",Article,"Final",,Scopus,2-s2.0-84893574327
"Horvitz, D.G., Thompson, D.J.","6602935855;57198125233;","A Generalization of Sampling Without Replacement from a Finite Universe",1952,"Journal of the American Statistical Association","47","260",,"663","685",,1644,"10.1080/01621459.1952.10483446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947396376&doi=10.1080%2f01621459.1952.10483446&partnerID=40&md5=0721bb283ba77e4f0970d61466a55101",Article,"Final",,Scopus,2-s2.0-84947396376
"Steuer, J.","7003954946;","Defining Virtual Reality: Dimensions Determining Telepresence",1992,"Journal of Communication","42","4",,"73","93",,1620,"10.1111/j.1460-2466.1992.tb00812.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985084394&doi=10.1111%2fj.1460-2466.1992.tb00812.x&partnerID=40&md5=2526c6e01bcf4262c3e1463fcc13fa1b",Article,"Final",,Scopus,2-s2.0-84985084394
"Duchi, J., Hazan, E., Singer, Y.","26221757400;8866408900;7003558824;","Adaptive subgradient methods for online learning and stochastic optimization",2011,"Journal of Machine Learning Research","12",,,"2121","2159",,1610,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052250414&partnerID=40&md5=31d2416429b7b367cc6d22799e71893c",Article,"Final",,Scopus,2-s2.0-80052250414
"Jo, S.H., Chang, T., Ebong, I., Bhadviya, B.B., Mazumder, P., Lu, W.","56583487600;55467694100;26321028400;25639485600;35586470500;55509946400;","Nanoscale memristor device as synapse in neuromorphic systems",2010,"Nano Letters","10","4",,"1297","1301",,1596,"10.1021/nl904092h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951026760&doi=10.1021%2fnl904092h&partnerID=40&md5=8a85a44bdadebba196dddedeede46344",Article,"Final",,Scopus,2-s2.0-77951026760
"Atkins, P., De Paula, J.","",[No title available],2002,"Atkins' Physical Chemistry",,,,"883","884",,1585,,,Article,"Final",,Scopus,2-s2.0-0003730703
"Martinez, L., Andrade, R., Birgin, E.G., Martínez, J.M.","7201890059;35777410500;6603687140;55884529800;","PACKMOL: A package for building initial configurations for molecular dynamics simulations",2009,"Journal of Computational Chemistry","30","13",,"2157","2164",,1552,"10.1002/jcc.21224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69949118458&doi=10.1002%2fjcc.21224&partnerID=40&md5=d8fbc2a050f31ef0417cb537f1d1a101",Article,"Final",Open Access,Scopus,2-s2.0-69949118458
"Dolan, E.D., Moré, J.J.","7004025030;7005204916;","Benchmarking optimization software with performance profiles",2002,"Mathematical Programming, Series B","91","2",,"201","213",,1544,"10.1007/s101070100263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28244496090&doi=10.1007%2fs101070100263&partnerID=40&md5=5ef3e11fb16a48fea9a125df7b78f83a",Article,"Final",,Scopus,2-s2.0-28244496090
"Sanner, R.M., Slotine, J.-J.E.","56044150700;24353472500;","Gaussian Networks for Direct Adaptive Control",1992,"IEEE Transactions on Neural Networks","3","6",,"837","863",,1542,"10.1109/72.165588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026954302&doi=10.1109%2f72.165588&partnerID=40&md5=f511af0e25ccfea214c82425b96b7f39",Article,"Final",,Scopus,2-s2.0-0026954302
"Binkert, N., Beckmann, B., Black, G., Reinhardt, S.K., Saidi, A., Basu, A., Hestness, J., Hower, D.R., Krishna, T., Sardashti, S., Sen, R., Sewell, K., Shoaib, M., Vaish, N., Hill, M.D., Wood, D.A.","","The gem5 simulator",2011,"SIGARCH Comput. Archit. News","39","2",,"1","7",,1520,,,Article,"Final",,Scopus,2-s2.0-84859464490
"Asch, S.E.","","Effects of group pressure upon the modification and distortion of judgments",1951,"Groups, Leadership and Men",,,,"177","190",,1491,,,Article,"Final",,Scopus,2-s2.0-0002276495
"Betts, J.T.","7102874757;","Survey of numerical methods for trajectory optimization",1998,"Journal of Guidance, Control, and Dynamics","21","2",,"193","207",,1472,"10.2514/2.4231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032021498&doi=10.2514%2f2.4231&partnerID=40&md5=aa430a3c56ebaad4abaef61573a81c17",Review,"Final",,Scopus,2-s2.0-0032021498
"Yang, W.S., Park, B.-W., Jung, E.H., Jeon, N.J., Kim, Y.C., Lee, D.U., Shin, S.S., Seo, J., Kim, E.K., Noh, J.H., Seok, S.I.","56001397500;35222177400;55681318900;55855523800;7410213949;34868338000;36664112400;57203426869;56376559600;11339532400;7004245859;","Iodide management in formamidinium-lead-halide-based perovskite layers for efficient solar cells",2017,"Science","356","6345",,"1376","1379",,1463,"10.1126/science.aan2301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021664119&doi=10.1126%2fscience.aan2301&partnerID=40&md5=b82da773804f104bd77288cceccd5441",Article,"Final",Open Access,Scopus,2-s2.0-85021664119
"McFadden, D., Train, K.","56260191600;7003665729;","Mixed MNL models for discrete response",2000,"Journal of Applied Econometrics","15","5",,"447","470",,1439,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034365737&partnerID=40&md5=dd1775b01fc030a85abcad23f19e6165",Article,"Final",,Scopus,2-s2.0-0034365737
"Cortés, J., Martínez, S., Karataş, T., Bullo, F.","35195421600;7202228052;6507749465;35557864500;","Coverage control for mobile sensing networks",2004,"IEEE Transactions on Robotics and Automation","20","2",,"243","255",,1402,"10.1109/TRA.2004.824698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11144354539&doi=10.1109%2fTRA.2004.824698&partnerID=40&md5=fabff27ef270b7e3931f10c4d9e131db",Article,"Final",,Scopus,2-s2.0-11144354539
"Kawato, M.","7004347773;","Internal models for motor control and trajectory planning",1999,"Current Opinion in Neurobiology","9","6",,"718","727",,1402,"10.1016/S0959-4388(99)00028-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032787485&doi=10.1016%2fS0959-4388%2899%2900028-8&partnerID=40&md5=9bc6f0d14d66cbf80e6daf313f8cb8db",Review,"Final",,Scopus,2-s2.0-0032787485
"He, K., Zhang, X., Ren, S., Sun, J.","",[No title available],2015,"Deep Residual Learning for Image Recognition",,,,"","",,1338,,,Article,"Final",,Scopus,2-s2.0-84958589374
"Plotkin, G.","","A structural approach to operational semantics",1981,"A Structural Approach to Operational Semantics",,,,"","",,1326,,,Article,"Final",,Scopus,2-s2.0-0003931061
"De Micheli, G.","",[No title available],1994,"Synthesis and Optimization of Digital Circuits",,,,"","",,1323,,,Article,"Final",,Scopus,2-s2.0-0004077620
"Mason, W., Suri, S.","35311452900;8568011500;","Conducting behavioral research on Amazon's Mechanical Turk",2012,"Behavior Research Methods","44","1",,"1","23",,1320,"10.3758/s13428-011-0124-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82655180226&doi=10.3758%2fs13428-011-0124-6&partnerID=40&md5=593f5685c7c0be1e6a59e9f3362e475c",Article,"Final",Open Access,Scopus,2-s2.0-82655180226
