Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Borjas, G.J.","",[No title available],1988,"International Differences in the Labor Market Performance of Immigrants",,,,"","",,45,,,Article,"Final",,Scopus,2-s2.0-0003654344
"Kteily, N., Ho, A.K., Sidanius, J.","36559747600;26025873100;7003730885;","Hierarchy in the mind: The predictive power of social dominance orientation across social contexts and domains",2012,"Journal of Experimental Social Psychology","48","2",,"543","549",,44,"10.1016/j.jesp.2011.11.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857138107&doi=10.1016%2fj.jesp.2011.11.007&partnerID=40&md5=d7a2473d07e1a28f3522d9e88fb8f954",Article,"Final",,Scopus,2-s2.0-84857138107
"Fishback, P.V.","6601956386;","Operations of ""Unfettered"" Labor Markets: Exit and Voice in American Labor Markets at the Turn of the Century",1998,"Journal of Economic Literature","36","2",,"722","765",,44,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000034658&partnerID=40&md5=bbebb4036e0ba07a9920c6a5bc9c78ea",Article,"Final",,Scopus,2-s2.0-0000034658
"Kidd, M.P., Shannon, M.","7102389283;7202548985;","The gender wage gap: A comparison of Australia and Canada",1996,"Industrial and Labor Relations Review","49","4",,"729","746",,44,"10.1177/001979399604900409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000237477&doi=10.1177%2f001979399604900409&partnerID=40&md5=c932702e9f14661b6887d411a533d1d1",Article,"Final",,Scopus,2-s2.0-0000237477
"Passel, J.S., Cohn, D.","","Overall Number of U.S. Unauthorized Immigrants Holds Steady Since 2009",2016,"Overall Number of U.S. Unauthorized Immigrants Holds Steady since 2009",,,,"","",,43,,,Article,"Final",,Scopus,2-s2.0-85014919403
"Riemer, H., Shavitt, S., Koo, M., Markus, H.R.","36521580900;6603600059;16244971900;7102054574;","Preferences don't have to be personal: Expanding attitude theorizing with a cross-cultural perspective",2014,"Psychological Review","121","4",,"619","648",,43,"10.1037/a0037666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925712557&doi=10.1037%2fa0037666&partnerID=40&md5=f30e5745686b968d18e5ed13ef662848",Article,"Final",,Scopus,2-s2.0-84925712557
"Palanski, M.E., Yammarino, F.J.","16444401900;6603737478;","Impact of behavioral integrity on follower job performance: A three-study examination",2011,"Leadership Quarterly","22","4",,"765","786",,43,"10.1016/j.leaqua.2011.05.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960450813&doi=10.1016%2fj.leaqua.2011.05.014&partnerID=40&md5=4fd035190d9d018b6491b578641ef73b",Article,"Final",,Scopus,2-s2.0-79960450813
"Hirsch, B., Schank, T., Schnabel, C.","57203044438;14049008800;7005171443;","Differences in labor supply to monopsonistic firms and the gender pay gap: An empirical analysis using linked employer-employee data from Germany",2010,"Journal of Labor Economics","28","2",,"291","330",,43,"10.1086/651208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952615772&doi=10.1086%2f651208&partnerID=40&md5=3a2b647069957868c1613e18d1a24294",Article,"Final",,Scopus,2-s2.0-77952615772
"Micco, A., Pages, C.","","The Economic Effects of Employment Protection: Evidence from International Industry-Level Data",2006,"The Economic Effects of Employment Protection: Evidence from International Industry-Level Data",,,,"","",,43,,,Article,"Final",,Scopus,2-s2.0-34347370754
"Bell, L.A.","","Women-led firms and the gender gap in top executive jobs",2005,"Women-Led Firms and the Gender Gap in Top Executive Jobs",,,,"","",,43,,,Article,"Final",,Scopus,2-s2.0-33748993456
"Goldin, C.","","A pollution theory of discrimination: Male and female differences in occupations and earnings",2002,"A Pollution Theory of Discrimination: Male and Female Differences in Occupations and Earnings",,,,"313","348",,43,,,Article,"Final",,Scopus,2-s2.0-34250626973
"Hersch, J., Viscusi, W.K.","7003326484;7006735812;","Gender differences in promotions and wages",1996,"Industrial Relations","35","4",,"461","472",,43,"10.1111/j.1468-232X.1996.tb00416.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000958865&doi=10.1111%2fj.1468-232X.1996.tb00416.x&partnerID=40&md5=7c4c02b2b09fd4f45ef9d42b823a065d",Article,"Final",,Scopus,2-s2.0-0000958865
"Ehrenberg, R.G., Ehrenberg, R.A., Rees, D.I., Ehrenberg, E.L.","","School district leave policies, teacher absenteeism, and student achievement",1991,"Journal of Human Resources","26","1",,"72","105",,43,,,Article,"Final",,Scopus,2-s2.0-0010117451
"Gates, T.S.","",[No title available],1970,"The Report of the President's Commission on an All-Volunteer Armed Force",,,,"","",,43,,,Article,"Final",,Scopus,2-s2.0-0005503225
"Clear, T.R., Austin, J.","","Reducing mass incarceration: Implications of the iron law of prison populations",2009,"Harvard Law &amp; Policy Review","3",,,"307","324",,42,,,Article,"Final",,Scopus,2-s2.0-77950238388
"Winkler, A.E., McBride, T.D., Andrews, C.","22939457800;7006325432;7201809366;","Wives who outearn their husbands: A transitory or persistent phenomenon for couples",2005,"Demography","42","3",,"523","535",,42,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-26044436962&partnerID=40&md5=1163a3f06b1512e262871b0a46fa6ea5",Article,"Final",,Scopus,2-s2.0-26044436962
"Jolls, C., Prescott, J.J.","","'Disaggregating employment protection: The case of disability discrimination'",2004,"Disaggregating Employment Protection: The Case of Disability Discrimination",,,,"","",,42,,,Article,"Final",,Scopus,2-s2.0-4043162900
"Ribar, D.C.","","What Do Social Scientists Know about the Benefits of Marriage? A Review of Quantitative Methodologies",2004,"What Do Social Scientists Know about the Benefits of Marriage? A Review of Quantitative Methodologies",,,,"","",,42,,,Article,"Final",,Scopus,2-s2.0-33748683529
"Peterson, D.","7402793867;","Perceived leader integrity and ethical intentions of subordinates",2004,"Leadership &amp; Organization Development Journal","25","1",,"7","23",,42,"10.1108/01437730410512741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992989988&doi=10.1108%2f01437730410512741&partnerID=40&md5=48fde475cd6b590580fa904a46d87663",Article,"Final",,Scopus,2-s2.0-84992989988
"Orazem, P.F., Vodopivec, M.","6603700685;6701537955;","Male-female differences in labor market outcomes during the early transition to market: The cases of Estonia and Slovenia",2000,"Journal of Population Economics","13","2",,"283","303",,42,"10.1007/s001480050139","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034341071&doi=10.1007%2fs001480050139&partnerID=40&md5=37d2015fe4a950054204f5a652252964",Article,"Final",,Scopus,2-s2.0-0034341071
"Card, D., Cardoso, A.R., Kline, P.","7006709011;7101743250;12798840800;","Bargaining, sorting, and the gender wage gap: Quantifying the impact of firms on the relative pay of women",2016,"Quarterly Journal of Economics","131","2",,"633","686",,41,"10.1093/qje/qjv038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979085093&doi=10.1093%2fqje%2fqjv038&partnerID=40&md5=f02fec4e9e915222880e4a0e4401062f",Article,"Final",,Scopus,2-s2.0-84979085093
"Kreps, T.A., Monin, B.","25025877600;6603051080;","""Doing well by doing good""? Ambivalent moral framing in organizations",2011,"Research in Organizational Behavior","31",,,"99","123",,41,"10.1016/j.riob.2011.09.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955232967&doi=10.1016%2fj.riob.2011.09.008&partnerID=40&md5=9ae4d661b22954bd2c8223ca6d2bb57a",Review,"Final",,Scopus,2-s2.0-82955232967
"Martin, S.P., Parashar, S.","55450101200;22836105500;","Women's changing attitudes toward divorce, 1974-2002: Evidence for an educational crossover",2006,"Journal of Marriage and Family","68","1",,"29","40",,41,"10.1111/j.1741-3737.2006.00231.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645149223&doi=10.1111%2fj.1741-3737.2006.00231.x&partnerID=40&md5=34beed2ac3cb740c0a46682ea4241f5f",Article,"Final",,Scopus,2-s2.0-33645149223
"Blau, F.D., Kahn, L.M.","","'The US Gender Pay Gap in the 1990s: Slowing Convergence'",2004,"The US Gender Pay Gap in the 1990s: Slowing Convergence",,,,"","",,41,,,Article,"Final",,Scopus,2-s2.0-33847249287
"Gunderson, M., Hyatt, D.","7005316970;7005217323;","Do injured workers pay for reasonable accommodation?",1996,"Industrial and Labor Relations Review","50","1",,"92","104",,41,"10.1177/001979399605000106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002654657&doi=10.1177%2f001979399605000106&partnerID=40&md5=77d15afe319d1840208e636ffdb0c340",Article,"Final",,Scopus,2-s2.0-0002654657
"Houle, J.N.","35102176000;","Disparities in Debt: Parents' Socioeconomic Resources and Young Adult Student Loan Debt",2014,"Sociology of Education","87","1",,"53","69",,40,"10.1177/0038040713512213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891877635&doi=10.1177%2f0038040713512213&partnerID=40&md5=77bc6b477c7bc02758041ab1105a5cfb",Article,"Final",Open Access,Scopus,2-s2.0-84891877635
"Renaud, S.","7103131745;","Rethinking the union membership/job satisfaction relationship: Some empirical evidence in Canada",2002,"International Journal of Manpower","23","2",,"137","150",,40,"10.1108/01437720210428397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036017732&doi=10.1108%2f01437720210428397&partnerID=40&md5=1bdea658c714dafb2520fc792534b4b8",Article,"Final",,Scopus,2-s2.0-0036017732
"Colella, A.","","Organizational socialization of newcomers with disabilities: A framework for future research",1996,"Research in Personnel and Human Resources Management","14",,,"351","417",,40,,,Article,"Final",,Scopus,2-s2.0-0000367320
"Raley, R.K., Sweeney, M.M., Wondra, D.","55666161900;7201379343;56913421900;","The growing racial and ethnic divide in U.S. marriage patterns",2015,"Future of Children","25","2",,"89","109",,39,"10.1353/foc.2015.0014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944768950&doi=10.1353%2ffoc.2015.0014&partnerID=40&md5=232455d8aec06dee58cfe603c234da9a",Article,"Final",,Scopus,2-s2.0-84944768950
"Flory, J.A., Leibbrandt, A., List, J.A.","","Do competitive workplaces deter female workers? A large-scale natural field experiment on job-entry decisions",2015,"Rev. Econom. Stud.","82","1",,"122","155",,39,,,Article,"Final",,Scopus,2-s2.0-84937003234
"OECD","","The survey of adult skills: reader's companion",2013,"The Survey of Adult Skills: Reader's Companion",,,,"","",,39,,,Article,"Final",,Scopus,2-s2.0-84892451305
"Compton, J., Pollak, R.A.","18036498700;36507688400;","Why are power couples increasingly concentrated in large metropolitan areas?",2007,"Journal of Labor Economics","25","3",,"475","512",,39,"10.1086/512706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547484862&doi=10.1086%2f512706&partnerID=40&md5=44e90a99fce0da47ff1a7036aa57a490",Review,"Final",,Scopus,2-s2.0-34547484862
"Joshi, H.E., Layard, R., Owen, S.J.","35985698400;6507869991;36808028300;","Why are more women working in Britain?",1985,"Journal of labor economics","3","1 Pt 2",,"S147","176",,39,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021779094&partnerID=40&md5=bceff653288423c5ec3b2ae8c6b8cd72",Article,"Final",,Scopus,2-s2.0-0021779094
"Mazei, J., Hüffmeier, J., Freund, P.A., Stuhlmacher, A.F., Bilke, L., Hertel, G.","56572938400;35573625500;22984691500;6602415656;56572716200;7006762114;","A meta-analysis on gender differences in negotiation outcomes and their moderators",2015,"Psychological Bulletin","141","1",,"85","104",,38,"10.1037/a0038184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925610539&doi=10.1037%2fa0038184&partnerID=40&md5=101bfc62858e75658dfdbf730875aa8b",Article,"Final",,Scopus,2-s2.0-84925610539
"Bertrand, M., Black, S., Jensen, S., Lleras-Muney, A.","","Breaking the Glass Ceiling? The Effect of Board Quotas on Female Labor Market Outcomesin Norway",2014,"Breaking the Glass Ceiling? the Effect of Board Quotas on Female Labor Market Outcomes in Norway",,,,"","",,38,,,Article,"Final",,Scopus,2-s2.0-84908590266
"Ho, A.K., Sidanius, J., Cuddy, A.J.C., Banaji, M.R.","26025873100;7003730885;6602430635;57201608286;","Status boundary enforcement and the categorization of black-white biracials",2013,"Journal of Experimental Social Psychology","49","5",,"940","943",,38,"10.1016/j.jesp.2013.04.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878981417&doi=10.1016%2fj.jesp.2013.04.010&partnerID=40&md5=6719af283a3f24444e2bab3f746b73cd",Article,"Final",,Scopus,2-s2.0-84878981417
"Bertossi, C.","37082864200;","National models of integration in europe: A comparative and critical analysis",2011,"American Behavioral Scientist","55","12",,"1561","1580",,38,"10.1177/0002764211409560","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81055125011&doi=10.1177%2f0002764211409560&partnerID=40&md5=4e9b0bb96bf556e39a94567a85ee76e1",Article,"Final",,Scopus,2-s2.0-81055125011
"Albanesi, S., Olivetti, C.","57126112300;6603249168;","Home production, market production and the gender wage gap: Incentives and expectations",2009,"Review of Economic Dynamics","12","1",,"80","107",,38,"10.1016/j.red.2008.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56949085143&doi=10.1016%2fj.red.2008.08.001&partnerID=40&md5=43e1ef1520dd842596e3fbc05e6addd1",Article,"Final",,Scopus,2-s2.0-56949085143
"Barden, J., Rucker, D.D., Petty, R.E.","7005468406;7006333143;7103153672;","""Saying one thing and doing another"": Examining the impact of event order on hypocrisy judgments of others",2005,"Personality and Social Psychology Bulletin","31","11",,"1463","1474",,38,"10.1177/0146167205276430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644566105&doi=10.1177%2f0146167205276430&partnerID=40&md5=4269e7c47ceda0b0c3ed5a58fe56ef2b",Article,"Final",,Scopus,2-s2.0-27644566105
"Hogan, D.P.","35965808400;","The effects of demographic factors, family background, and early job achievement on age at marriage",1978,"Demography","15","2",,"161","175",,38,"10.2307/2060520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017972228&doi=10.2307%2f2060520&partnerID=40&md5=26f375938fd34a3c6c9da51e0a6d1edd",Article,"Final",,Scopus,2-s2.0-0017972228
"Heckman, J.J., Humphries, J.E., Kautz, T.","","The myth of achievement tests: The GED and the role of character in American life",2014,"The Myth of Achievement Tests: The GED and the Role of Character in American Life",,,,"","",,37,,,Article,"Final",,Scopus,2-s2.0-84928390783
"Bailey, M.J., Hershbein, B., Miller, A.R.","14631703900;35364385400;33467847300;","The opt-in revolution? Contraception and the gender gap in wages",2012,"American Economic Journal: Applied Economics","4","3",,"225","254",,37,"10.1257/app.4.3.225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866784775&doi=10.1257%2fapp.4.3.225&partnerID=40&md5=e3e5d5107a7417ab3232922a2cb23e15",Article,"Final",,Scopus,2-s2.0-84866784775
"Hoffman, S.D., Seidman, L.S.","",[No title available],2003,"Helping Working Families: The Earned Income Tax Credit",,,,"","",,37,,,Article,"Final",,Scopus,2-s2.0-27744441309
"Ross, M., Miller, D.T.","","The justice motive in everyday life",2002,"The Justice Motive in Everyday Life",,,,"","",,37,,,Article,"Final",,Scopus,2-s2.0-0038291632
"Monin, B., Miller, D.T.","6603051080;24547388400;","Moral credentials and the expression of prejudice",2001,"Journal of Personality and Social Psychology","81","1",,"33","43",,37,"10.1037/0022-3514.81.1.33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047682709&doi=10.1037%2f0022-3514.81.1.33&partnerID=40&md5=e9af3f93f4161a178adee46bca710cae",Article,"Final",,Scopus,2-s2.0-85047682709
"Hatemi, P.K., Medland, S.E., Klemmensen, R., Oskarsson, S., Littvay, L., Dawes, C.T., Verhulst, B., McDermott, R., Nørgaard, A.S., Klofstad, C.A., Christensen, K., Johannesson, M., Magnusson, P.K.E., Eaves, L.J., Martin, N.G.","16229994400;34571085600;14522718400;56041440700;16230761200;16204797900;35197121600;7102800985;7006280527;10340526300;7202687730;7103162936;24756281600;7201705061;57195254907;","Genetic influences on political ideologies: Twin analyses of 19 measures of political ideologies from five democracies and genome-wide findings from three populations",2014,"Behavior Genetics","44","3",,"282","294",,36,"10.1007/s10519-014-9648-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901593035&doi=10.1007%2fs10519-014-9648-8&partnerID=40&md5=a71d5a2b0cf02fa3e2f9b9694d0acf6e",Article,"Final",,Scopus,2-s2.0-84901593035
"Pope, D.G., Sydnor, J.R.","24329697200;36081261800;","Geographic variation in the gender differences in test scores",2010,"Journal of Economic Perspectives","24","2",,"95","108",,36,"10.1257/jep.24.2.95","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952696495&doi=10.1257%2fjep.24.2.95&partnerID=40&md5=09d8f3f5a51b2dc4ba5f6f24cfaf7ff9",Article,"Final",Open Access,Scopus,2-s2.0-77952696495
[No author name available],[No author id available],"Rising Above the Gathering Storm: Energizing and Employing America for a Brighter Economic Future",2007,"Rising above the Gathering Storm: Energizing and Employing America for A Brighter Economic Future",,,,"","",,36,,,Article,"Final",,Scopus,2-s2.0-85002130350
"Dixon, K.A., Kruse, D., Van Horn, C.E.","",[No title available],2003,"Restricted Access: A Survey of Employers about People with Disabilities and Lowering Barriers to Work",,,,"","",,36,,,Article,"Final",,Scopus,2-s2.0-14644390018
"Goldring, L.","6603499010;","Gender, status, and the state in transnational spaces: The gendering of political participation and Mexican hometown associations",2003,"Gender and U.S. Immigration: Contemporary Trends",,,,"341","358",,36,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887661429&partnerID=40&md5=43b8cec2d340a9b34c168d85dc2394da",Book Chapter,"Final",,Scopus,2-s2.0-84887661429
"Nelson, J.A.","16421794000;","Are women really more risk-averse than men? A re-analysis of the literature using expanded methods",2015,"Journal of Economic Surveys","29","3",,"566","585",,35,"10.1111/joes.12069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931416457&doi=10.1111%2fjoes.12069&partnerID=40&md5=cc38d68153553800334e9e3e7d768986",Article,"Final",,Scopus,2-s2.0-84931416457
"Singh, R., Fouad, N.A., Fitzpatrick, M.E., Liu, J.P., Cappaert, K.J., Figuereido, C.","21834738500;7006325932;23096847300;48661220200;36016062900;55918496400;","Stemming the tide: Predicting women engineers' intentions to leave",2013,"Journal of Vocational Behavior","83","3",,"281","294",,35,"10.1016/j.jvb.2013.05.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887167511&doi=10.1016%2fj.jvb.2013.05.007&partnerID=40&md5=7aafba0347810ea26cea3ea79b6a428b",Article,"Final",,Scopus,2-s2.0-84887167511
"Kubal, A.","55609073400;","Conceptualizing Semi-Legality in Migration Research",2013,"Law and Society Review","47","3",,"555","587",,35,"10.1111/lasr.12031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880686265&doi=10.1111%2flasr.12031&partnerID=40&md5=53c33608cb20024e7a6996e1e86c0b93",Article,"Final",,Scopus,2-s2.0-84880686265
"Ors, E., Palomino, F., Peyrache, E.","6507351927;6603274033;22734996100;","Performance gender gap: Does competition matter?",2013,"Journal of Labor Economics","31","3",,"443","499",,35,"10.1086/669331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879440379&doi=10.1086%2f669331&partnerID=40&md5=ef93fefd1d969f26ebac7fa614d6e1fe",Article,"Final",,Scopus,2-s2.0-84879440379
"Arango, J.","",[No title available],2013,"Exceptional in Europe? Spain's Experience with Immigration and Integration",,,,"","",,35,,,Article,"Final",,Scopus,2-s2.0-84918510358
"Kmec, J.A.","6507245660;","Are motherhood penalties and fatherhood bonuses warranted? Comparing pro-work behaviors and conditions of mothers, fathers, and non-parents",2011,"Social Science Research","40","2",,"444","459",,35,"10.1016/j.ssresearch.2010.11.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955006774&doi=10.1016%2fj.ssresearch.2010.11.006&partnerID=40&md5=65ce6e1c9407658141a4806c2e7e17da",Article,"Final",,Scopus,2-s2.0-79955006774
"Addo, F.R., Sassler, S.","36342302700;6603538477;","Financial Arrangements and Relationship Quality in Low-Income Couples",2010,"Family Relations","59","4",,"408","423",,35,"10.1111/j.1741-3729.2010.00612.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956528819&doi=10.1111%2fj.1741-3729.2010.00612.x&partnerID=40&md5=efd4e80f134ed3697111822f9787410c",Article,"Final",,Scopus,2-s2.0-77956528819
"Killingsworth, M.R.","",[No title available],1990,"The Economics of Comparable Worth",,,,"","",,35,,,Article,"Final",,Scopus,2-s2.0-0004151737
"Eckel, C.C., Füllbrunn, S.C.","7003583590;37017268600;","Thar she blows? gender, competition, and bubbles in experimental asset markets",2015,"American Economic Review","105","2",,"906","920",,34,"10.1257/aer.20130683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922243481&doi=10.1257%2faer.20130683&partnerID=40&md5=a39a43f94d284206923c25f775839ce3",Article,"Final",,Scopus,2-s2.0-84922243481
"Smyth, F.L., Nosek, B.A.","6701808894;6602443500;","On the gender-science stereotypes held by Scientists: Explicit accord with gender-ratios, implicit accord with scientific identity",2015,"Frontiers in Psychology","6","MAR", 415,"","",,34,"10.3389/fpsyg.2015.00415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926633484&doi=10.3389%2ffpsyg.2015.00415&partnerID=40&md5=be288024404daac8869a042cb9882d25",Article,"Final",Open Access,Scopus,2-s2.0-84926633484
"Villarreal, A.","8097661100;","Explaining the Decline in Mexico-U.S. Migration: The Effect of the Great Recession",2014,"Demography","51","6",,"2203","2228",,34,"10.1007/s13524-014-0351-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916203904&doi=10.1007%2fs13524-014-0351-4&partnerID=40&md5=00a6d0c31947744ba1c0da12b4c08512",Article,"Final",,Scopus,2-s2.0-84916203904
"Ransom, M.R., Sims, D.P.","7005426967;15066057400;","Estimating the firm's labor supply curve in a ""new Monopsony"" framework: Schoolteachers in Missouri",2010,"Journal of Labor Economics","28","2",,"331","335",,34,"10.1086/649904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952829849&doi=10.1086%2f649904&partnerID=40&md5=c80573b609fb10b8dcb11a22e124c9cb",Article,"Final",,Scopus,2-s2.0-77952829849
"Sassler, S., Cunningham, A., Lichter, D.T.","6603538477;23968693300;7005279550;","Intergenerational patterns of union formation and relationship quality",2009,"Journal of Family Issues","30","6",,"757","786",,34,"10.1177/0192513X09331580","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65749089076&doi=10.1177%2f0192513X09331580&partnerID=40&md5=2853bcb7f17dcbf42385dd390fca39b3",Article,"Final",,Scopus,2-s2.0-65749089076
"Gomez, R., Gunderson, M., Meltz, N.","55711051600;7005316970;6505892833;","Comparing youth and adult desire for unionization in Canada",2002,"British Journal of Industrial Relations","40","3",,"521","542",,34,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036025512&partnerID=40&md5=b784888b2591839f3d1e57fc41bfeba3",Review,"Final",,Scopus,2-s2.0-0036025512
"Cording, M., Harrison, J.S., Hoskisson, R.E., Jonsen, K.","14031217300;7402742327;6602700456;26035952300;","Walking the talk: A multistakeholder exploration of organizational authenticity, employee productivity, and post-merger performance",2014,"Academy of Management Perspectives","28","1",,"38","56",,33,"10.5465/amp.2013.0002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896750636&doi=10.5465%2famp.2013.0002&partnerID=40&md5=fd9f831a1d9d0351999a858bcce293db",Article,"Final",,Scopus,2-s2.0-84896750636
"Ayre, M., Mills, J., Gill, J.","6603240377;7402862494;15836855200;","'Yes, I do belong': the women who stay in engineering",2013,"Engineering Studies","5","3",,"216","232",,33,"10.1080/19378629.2013.855781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891559443&doi=10.1080%2f19378629.2013.855781&partnerID=40&md5=7e7f60c1da3a58566aa9bb98027240ed",Article,"Final",,Scopus,2-s2.0-84891559443
"Ransom, M.R., Oaxaca, R.L.","7005426967;6603149337;","New market power models and sex differences in pay",2010,"Journal of Labor Economics","28","2",,"267","289",,33,"10.1086/651245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952846607&doi=10.1086%2f651245&partnerID=40&md5=d027543c93e8217a1090e5341db84ef9",Article,"Final",,Scopus,2-s2.0-77952846607
"Bacolod, M.P., Blum, B.S.","57203636677;15065006000;","Two sides of the same coin: U.S. ""residual"" inequality and the gender gap",2010,"Journal of Human Resources","45","1",,"197","242",,33,"10.3368/jhr.45.1.197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952481508&doi=10.3368%2fjhr.45.1.197&partnerID=40&md5=6f1820ad10f19ca7f0ae37569561df82",Article,"Final",,Scopus,2-s2.0-77952481508
"Kahn, K., Ho, A.K., Sidanius, J., Pratto, F.","24080018100;26025873100;7003730885;7003942397;","The space between us and them: Perceptions of status differences",2009,"Group Processes and Intergroup Relations","12","5",,"591","604",,33,"10.1177/1368430209338716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349287999&doi=10.1177%2f1368430209338716&partnerID=40&md5=9dfff789c7b6fc1fdded769c1403e434",Article,"Final",,Scopus,2-s2.0-70349287999
"Smith-Doerr, L.","6507012729;","Flexibility and fairness: Effects of the network form of organization on gender equity in life science careers",2004,"Sociological Perspectives","47","1",,"25","54",,33,"10.1525/sop.2004.47.1.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442692686&doi=10.1525%2fsop.2004.47.1.25&partnerID=40&md5=f67504c1386a8a37e0c35297b7ac28c9",Review,"Final",,Scopus,2-s2.0-2442692686
"Maguire, K.E., Flanagan, T.J., Thornberry, T.P.","16453835300;7102943007;35965825900;","Prison labor and recidivism",1988,"Journal of Quantitative Criminology","4","1",,"3","18",,33,"10.1007/BF01066881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0007529925&doi=10.1007%2fBF01066881&partnerID=40&md5=08d8d7841fde60a59090050b9cda0db7",Article,"Final",,Scopus,2-s2.0-0007529925
"Sawhill, I.V.","","The Economics of Discrimination Against Women: Some New Findings",1973,"Journal of Human Resources","8","3",,"383","396",,33,,,Article,"Final",,Scopus,2-s2.0-84877144034
"Becker, G.S.","",[No title available],1957,"The Economics of Discrimination.",,,,"","",,33,,,Article,"Final",,Scopus,2-s2.0-84858585849
"Atherton, W.N.","57194763417;","Theory of union bargaining goals",2015,"Theory of Union Bargaining Goals",,,,"1","168",,32,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022085771&partnerID=40&md5=20ab5a3d6474a86cc47ae11579f68d64",Book,"Final",,Scopus,2-s2.0-85022085771
"Mandel, H., Semyonov, M.","12790128300;7004104670;","Gender Pay Gap and Employment Sector: Sources of Earnings Disparities in the United States, 1970–2010",2014,"Demography","51","5",,"1597","1618",,32,"10.1007/s13524-014-0320-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910005803&doi=10.1007%2fs13524-014-0320-y&partnerID=40&md5=0c3eb6a5055d70926bb57157ab18d980",Article,"Final",,Scopus,2-s2.0-84910005803
"Gayle, G.-L., Golan, L., Miller, R.A.","21740963300;8513001600;55687094200;","Gender differences in executive compensation and job mobility",2012,"Journal of Labor Economics","30","4",,"829","872",,32,"10.1086/666615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866504445&doi=10.1086%2f666615&partnerID=40&md5=51810284dbbaab1a1017565428fa76e8",Article,"Final",,Scopus,2-s2.0-84866504445
"Bertossi, C., Duyvendak, J.W.","37082864200;6506612291;","National models of immigrant integration: The costs for comparative research",2012,"Comparative European Politics","10","3",,"237","247",,32,"10.1057/cep.2012.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862547119&doi=10.1057%2fcep.2012.10&partnerID=40&md5=ef808bf9a7572b1ae87bdf388d5ba9bc",Review,"Final",,Scopus,2-s2.0-84862547119
